Order ID;Restaurant Name;Location;Order Time;Delivery Time;Delivery Duration (min);Pizza Size;Pizza Type;Toppings Count;Distance (km);Traffic Level;Payment Method;Is Peak Hour;Is Weekend;Delivery Efficiency (min/km);Topping Density;Order Month;Payment Category;Estimated Duration (min);Delay (min);Is Delayed;Pizza Complexity;Traffic Impact;Order Hour;Restaurant Avg Time
ORD011;Domino's;San Francisco, CA;11/1/2024 17:30;11/1/2024 17:50;20;Large;Veg;4;4;Low;UPI;FALSO;FALSO;5;1;January;Online;9,6;10,4;FALSO;12;1;17;30,25943396
ORD012;Papa John's;Houston, TX;12/1/2024 19:00;12/1/2024 19:25;25;Medium;Non-Veg;3;3;Medium;Cash;VERDADERO;FALSO;8,333333333;1;January;Offline;7,2;17,8;FALSO;6;2;19;28,18627451
ORD013;Little Caesars;Phoenix, AZ;13/1/2024 18:15;13/1/2024 18:35;20;Small;Vegan;2;2,5;High;Wallet;VERDADERO;VERDADERO;8;0,8;January;Online;6;14;FALSO;2;3;18;28,84422111
ORD014;Pizza Hut;Atlanta, GA;14/1/2024 20:30;14/1/2024 20:55;25;XL;Cheese Burst;5;4;Low;Card;VERDADERO;VERDADERO;6,25;1,25;January;Online;9,6;15,4;FALSO;20;1;20;29,94845361
ORD015;Marco's Pizza;Seattle, WA;15/1/2024 14:00;15/1/2024 14:20;20;Medium;Non-Veg;3;3;Medium;UPI;FALSO;FALSO;6,666666667;1;January;Online;7,2;12,8;FALSO;6;2;14;30,28645833
ORD016;Domino's;Denver, CO;16/1/2024 19:45;16/1/2024 20:10;25;Large;Veg;4;4,5;High;Cash;VERDADERO;FALSO;5,555555556;0,888888889;January;Offline;10,8;14,2;FALSO;12;3;19;30,25943396
ORD017;Papa John's;Boston, MA;17/1/2024 18:30;17/1/2024 18:55;25;Small;Vegan;2;2;Low;Wallet;VERDADERO;FALSO;12,5;1;January;Online;4,8;20,2;FALSO;2;1;18;28,18627451
ORD018;Little Caesars;Dallas, TX;18/1/2024 20:00;18/1/2024 20:20;20;Medium;Non-Veg;3;3,5;Medium;Card;VERDADERO;FALSO;5,714285714;0,857142857;January;Online;8,4;11,6;FALSO;6;2;20;28,84422111
ORD019;Pizza Hut;Los Angeles, CA;19/1/2024 19:15;19/1/2024 19:40;25;XL;Cheese Burst;5;4;High;UPI;VERDADERO;FALSO;6,25;1,25;January;Online;9,6;15,4;FALSO;20;3;19;29,94845361
ORD020;Marco's Pizza;Chicago, IL;20/1/2024 13:30;20/1/2024 13:50;20;Medium;Non-Veg;3;3;Low;Cash;FALSO;VERDADERO;6,666666667;1;January;Offline;7,2;12,8;FALSO;6;1;13;30,28645833
ORD021;Domino's;Miami, FL;21/1/2024 18:45;21/1/2024 19:10;25;Large;Veg;4;4,5;Medium;Wallet;VERDADERO;VERDADERO;5,555555556;0,888888889;January;Online;10,8;14,2;FALSO;12;2;18;30,25943396
ORD022;Papa John's;Dallas, TX;22/1/2024 20:00;22/1/2024 20:25;25;Small;Vegan;2;2;High;Card;VERDADERO;FALSO;12,5;1;January;Online;4,8;20,2;FALSO;2;3;20;28,18627451
ORD023;Little Caesars;Houston, TX;23/1/2024 19:30;23/1/2024 19:50;20;Medium;Non-Veg;3;3,5;Low;UPI;VERDADERO;FALSO;5,714285714;0,857142857;January;Online;8,4;11,6;FALSO;6;1;19;28,84422111
ORD024;Pizza Hut;Phoenix, AZ;24/1/2024 18:15;24/1/2024 18:40;25;XL;Cheese Burst;5;4;Medium;Cash;VERDADERO;FALSO;6,25;1,25;January;Offline;9,6;15,4;FALSO;20;2;18;29,94845361
ORD025;Marco's Pizza;Atlanta, GA;25/1/2024 14:30;25/1/2024 14:50;20;Medium;Non-Veg;3;3;High;Wallet;FALSO;FALSO;6,666666667;1;January;Online;7,2;12,8;FALSO;6;3;14;30,28645833
ORD026;Domino's;Seattle, WA;26/1/2024 20:00;26/1/2024 20:25;25;Large;Veg;4;4,5;Low;Card;VERDADERO;FALSO;5,555555556;0,888888889;January;Online;10,8;14,2;FALSO;12;1;20;30,25943396
ORD027;Papa John's;Denver, CO;27/1/2024 19:15;27/1/2024 19:40;25;Small;Vegan;2;2;Medium;UPI;VERDADERO;VERDADERO;12,5;1;January;Online;4,8;20,2;FALSO;2;2;19;28,18627451
ORD028;Little Caesars;Boston, MA;28/1/2024 18:30;28/1/2024 18:50;20;Medium;Non-Veg;3;3,5;High;Cash;VERDADERO;VERDADERO;5,714285714;0,857142857;January;Offline;8,4;11,6;FALSO;6;3;18;28,84422111
ORD029;Pizza Hut;Chicago, IL;29/1/2024 20:00;29/1/2024 20:25;25;XL;Cheese Burst;5;4;Low;Wallet;VERDADERO;FALSO;6,25;1,25;January;Online;9,6;15,4;FALSO;20;1;20;29,94845361
ORD030;Marco's Pizza;Miami, FL;30/1/2024 13:15;30/1/2024 13:35;20;Medium;Non-Veg;3;3;Medium;Card;FALSO;FALSO;6,666666667;1;January;Online;7,2;12,8;FALSO;6;2;13;30,28645833
ORD031;Domino's;Los Angeles, CA;1/2/2024 19:45;1/2/2024 20:10;25;Large;Veg;4;4,5;High;UPI;VERDADERO;FALSO;5,555555556;0,888888889;February;Online;10,8;14,2;FALSO;12;3;19;30,25943396
ORD032;Papa John's;Phoenix, AZ;2/2/2024 18:00;2/2/2024 18:25;25;Small;Vegan;2;2;Low;Cash;VERDADERO;FALSO;12,5;1;February;Offline;4,8;20,2;FALSO;2;1;18;28,18627451
ORD033;Little Caesars;Atlanta, GA;3/2/2024 20:30;3/2/2024 20:55;25;Medium;Non-Veg;3;3,5;Medium;Wallet;VERDADERO;VERDADERO;7,142857143;0,857142857;February;Online;8,4;16,6;FALSO;6;2;20;28,84422111
ORD034;Pizza Hut;Dallas, TX;4/2/2024 14:15;4/2/2024 14:35;20;XL;Cheese Burst;5;4;High;Card;FALSO;VERDADERO;5;1,25;February;Online;9,6;10,4;FALSO;20;3;14;29,94845361
ORD035;Marco's Pizza;Seattle, WA;5/2/2024 19:00;5/2/2024 19:25;25;Medium;Non-Veg;3;3;Low;UPI;VERDADERO;FALSO;8,333333333;1;February;Online;7,2;17,8;FALSO;6;1;19;30,28645833
ORD036;Domino's;Houston, TX;6/2/2024 18:45;6/2/2024 19:10;25;Large;Veg;4;4,5;Medium;Card;VERDADERO;FALSO;5,555555556;0,888888889;February;Online;10,8;14,2;FALSO;12;2;18;30,25943396
ORD037;Papa John's;Phoenix, AZ;7/2/2024 20:00;7/2/2024 20:25;25;Medium;Non-Veg;3;3;High;UPI;VERDADERO;FALSO;8,333333333;1;February;Online;7,2;17,8;FALSO;6;3;20;28,18627451
ORD038;Little Caesars;Atlanta, GA;8/2/2024 19:30;8/2/2024 19:50;20;Small;Vegan;2;2,5;Low;Cash;VERDADERO;FALSO;8;0,8;February;Offline;6;14;FALSO;2;1;19;28,84422111
ORD039;Pizza Hut;Dallas, TX;9/2/2024 18:15;9/2/2024 18:40;25;XL;Cheese Burst;5;4;Medium;Wallet;VERDADERO;FALSO;6,25;1,25;February;Online;9,6;15,4;FALSO;20;2;18;29,94845361
ORD040;Marco's Pizza;Seattle, WA;10/2/2024 14:30;10/2/2024 14:50;20;Medium;Non-Veg;3;3,5;High;Card;FALSO;VERDADERO;5,714285714;0,857142857;February;Online;8,4;11,6;FALSO;6;3;14;30,28645833
ORD041;Domino's;Denver, CO;11/2/2024 19:00;11/2/2024 19:20;20;Large;Veg;4;4;Low;UPI;VERDADERO;VERDADERO;5;1;February;Online;9,6;10,4;FALSO;12;1;19;30,25943396
ORD042;Papa John's;Boston, MA;12/2/2024 20:15;12/2/2024 20:40;25;Small;Vegan;2;2;Medium;Cash;VERDADERO;FALSO;12,5;1;February;Offline;4,8;20,2;FALSO;2;2;20;28,18627451
ORD043;Little Caesars;Dallas, TX;13/2/2024 18:30;13/2/2024 18:50;20;Medium;Non-Veg;3;3;High;Wallet;VERDADERO;FALSO;6,666666667;1;February;Online;7,2;12,8;FALSO;6;3;18;28,84422111
ORD044;Pizza Hut;Los Angeles, CA;14/2/2024 19:45;14/2/2024 20:10;25;XL;Cheese Burst;5;5;Low;Card;VERDADERO;FALSO;5;1;February;Online;12;13;FALSO;20;1;19;29,94845361
ORD045;Marco's Pizza;Chicago, IL;15/2/2024 13:00;15/2/2024 13:20;20;Medium;Non-Veg;3;3,5;Medium;UPI;FALSO;FALSO;5,714285714;0,857142857;February;Online;8,4;11,6;FALSO;6;2;13;30,28645833
ORD046;Domino's;Miami, FL;16/2/2024 18:30;16/2/2024 18:50;20;Large;Veg;4;4;High;Cash;VERDADERO;FALSO;5;1;February;Offline;9,6;10,4;FALSO;12;3;18;30,25943396
ORD047;Papa John's;Dallas, TX;17/2/2024 20:00;17/2/2024 20:25;25;Medium;Non-Veg;3;3;Low;Wallet;VERDADERO;VERDADERO;8,333333333;1;February;Online;7,2;17,8;FALSO;6;1;20;28,18627451
ORD048;Little Caesars;Houston, TX;18/2/2024 19:15;18/2/2024 19:35;20;Small;Vegan;2;2,5;Medium;Card;VERDADERO;VERDADERO;8;0,8;February;Online;6;14;FALSO;2;2;19;28,84422111
ORD049;Pizza Hut;Phoenix, AZ;19/2/2024 20:30;19/2/2024 20:55;25;XL;Cheese Burst;5;4,5;High;UPI;VERDADERO;FALSO;5,555555556;1,111111111;February;Online;10,8;14,2;FALSO;20;3;20;29,94845361
ORD050;Marco's Pizza;Atlanta, GA;20/2/2024 14:45;20/2/2024 15:05;20;Medium;Non-Veg;3;3;Low;Cash;FALSO;FALSO;6,666666667;1;February;Offline;7,2;12,8;FALSO;6;1;14;30,28645833
ORD051;Domino's;Seattle, WA;21/2/2024 19:00;21/2/2024 19:20;20;Large;Veg;4;4;Medium;Wallet;VERDADERO;FALSO;5;1;February;Online;9,6;10,4;FALSO;12;2;19;30,25943396
ORD052;Papa John's;Denver, CO;22/2/2024 20:15;22/2/2024 20:40;25;Small;Vegan;2;2;High;Card;VERDADERO;FALSO;12,5;1;February;Online;4,8;20,2;FALSO;2;3;20;28,18627451
ORD053;Little Caesars;Boston, MA;23/2/2024 18:30;23/2/2024 18:50;20;Medium;Non-Veg;3;3,5;Low;UPI;VERDADERO;FALSO;5,714285714;0,857142857;February;Online;8,4;11,6;FALSO;6;1;18;28,84422111
ORD054;Pizza Hut;Chicago, IL;24/2/2024 19:45;24/2/2024 20:10;25;XL;Cheese Burst;5;4;Medium;Cash;VERDADERO;VERDADERO;6,25;1,25;February;Offline;9,6;15,4;FALSO;20;2;19;29,94845361
ORD055;Marco's Pizza;Miami, FL;25/2/2024 13:00;25/2/2024 13:20;20;Medium;Non-Veg;3;3;High;Wallet;FALSO;VERDADERO;6,666666667;1;February;Online;7,2;12,8;FALSO;6;3;13;30,28645833
ORD056;Domino's;Los Angeles, CA;26/2/2024 18:30;26/2/2024 18:50;20;Large;Veg;4;4,5;Low;Card;VERDADERO;FALSO;4,444444444;0,888888889;February;Online;10,8;9,2;FALSO;12;1;18;30,25943396
ORD057;Papa John's;Phoenix, AZ;27/2/2024 20:00;27/2/2024 20:25;25;Medium;Non-Veg;3;3;High;UPI;VERDADERO;FALSO;8,333333333;1;February;Online;7,2;17,8;FALSO;6;3;20;28,18627451
ORD058;Little Caesars;Atlanta, GA;28/2/2024 19:15;28/2/2024 19:35;20;Small;Vegan;2;2,5;Low;Cash;VERDADERO;FALSO;8;0,8;February;Offline;6;14;FALSO;2;1;19;28,84422111
ORD059;Pizza Hut;Dallas, TX;29/2/2024 20:30;29/2/2024 20:55;25;XL;Cheese Burst;5;4;Medium;Wallet;VERDADERO;FALSO;6,25;1,25;February;Online;9,6;15,4;FALSO;20;2;20;29,94845361
ORD060;Marco's Pizza;Seattle, WA;1/3/2024 14:45;1/3/2024 15:05;20;Medium;Non-Veg;3;3,5;High;Card;FALSO;FALSO;5,714285714;0,857142857;March;Online;8,4;11,6;FALSO;6;3;14;30,28645833
ORD061;Domino's;Denver, CO;2/3/2024 19:00;2/3/2024 19:20;20;Large;Veg;4;4;Low;UPI;VERDADERO;VERDADERO;5;1;March;Online;9,6;10,4;FALSO;12;1;19;30,25943396
ORD062;Papa John's;Boston, MA;3/3/2024 20:15;3/3/2024 20:40;25;Small;Vegan;2;2;Medium;Cash;VERDADERO;VERDADERO;12,5;1;March;Offline;4,8;20,2;FALSO;2;2;20;28,18627451
ORD063;Little Caesars;Dallas, TX;4/3/2024 18:30;4/3/2024 18:50;20;Medium;Non-Veg;3;3;High;Wallet;VERDADERO;FALSO;6,666666667;1;March;Online;7,2;12,8;FALSO;6;3;18;28,84422111
ORD064;Pizza Hut;Los Angeles, CA;5/3/2024 19:45;5/3/2024 20:10;25;XL;Cheese Burst;5;4,5;Low;Card;VERDADERO;FALSO;5,555555556;1,111111111;March;Online;10,8;14,2;FALSO;20;1;19;29,94845361
ORD065;Marco's Pizza;Chicago, IL;6/3/2024 13:00;6/3/2024 13:20;20;Medium;Non-Veg;3;3,5;Low;Card;FALSO;FALSO;5,714285714;0,857142857;March;Online;8,4;11,6;FALSO;6;1;13;30,28645833
ORD066;Domino's;Miami, FL;7/3/2024 18:30;7/3/2024 18:50;20;Large;Veg;4;4;High;Card;VERDADERO;FALSO;5;1;March;Online;9,6;10,4;FALSO;12;3;18;30,25943396
ORD067;Papa John's;Dallas, TX;8/3/2024 20:00;8/3/2024 20:25;25;Medium;Non-Veg;3;3,5;Medium;UPI;VERDADERO;FALSO;7,142857143;0,857142857;March;Online;8,4;16,6;FALSO;6;2;20;28,18627451
ORD068;Little Caesars;Chicago, IL;9/3/2024 19:15;9/3/2024 19:35;20;Small;Vegan;2;2,5;Low;Cash;VERDADERO;VERDADERO;8;0,8;March;Offline;6;14;FALSO;2;1;19;28,84422111
ORD069;Pizza Hut;Phoenix, AZ;10/3/2024 19:45;10/3/2024 20:10;25;XL;Cheese Burst;5;4,5;High;Wallet;VERDADERO;VERDADERO;5,555555556;1,111111111;March;Online;10,8;14,2;FALSO;20;3;19;29,94845361
ORD070;Marco's Pizza;Atlanta, GA;11/3/2024 13:00;11/3/2024 13:20;20;Medium;Non-Veg;3;3;Low;Card;FALSO;FALSO;6,666666667;1;March;Online;7,2;12,8;FALSO;6;1;13;30,28645833
ORD071;Domino's;Seattle, WA;12/3/2024 18:30;12/3/2024 18:50;20;Large;Veg;4;4;Medium;UPI;VERDADERO;FALSO;5;1;March;Online;9,6;10,4;FALSO;12;2;18;30,25943396
ORD072;Papa John's;Denver, CO;13/3/2024 20:15;13/3/2024 20:40;25;Small;Vegan;2;2;High;Cash;VERDADERO;FALSO;12,5;1;March;Offline;4,8;20,2;FALSO;2;3;20;28,18627451
ORD073;Little Caesars;Boston, MA;14/3/2024 18:30;14/3/2024 18:50;20;Medium;Non-Veg;3;3,5;Low;Wallet;VERDADERO;FALSO;5,714285714;0,857142857;March;Online;8,4;11,6;FALSO;6;1;18;28,84422111
ORD074;Pizza Hut;Chicago, IL;15/3/2024 19:45;15/3/2024 20:10;25;XL;Cheese Burst;5;4;Medium;Card;VERDADERO;FALSO;6,25;1,25;March;Online;9,6;15,4;FALSO;20;2;19;29,94845361
ORD075;Marco's Pizza;Miami, FL;16/3/2024 13:00;16/3/2024 13:20;20;Medium;Non-Veg;3;3;High;UPI;FALSO;VERDADERO;6,666666667;1;March;Online;7,2;12,8;FALSO;6;3;13;30,28645833
ORD076;Domino's;Los Angeles, CA;17/3/2024 18:30;17/3/2024 18:50;20;Large;Veg;4;4,5;Low;Cash;VERDADERO;VERDADERO;4,444444444;0,888888889;March;Offline;10,8;9,2;FALSO;12;1;18;30,25943396
ORD077;Papa John's;Phoenix, AZ;18/3/2024 20:00;18/3/2024 20:25;25;Medium;Non-Veg;3;3;High;Wallet;VERDADERO;FALSO;8,333333333;1;March;Online;7,2;17,8;FALSO;6;3;20;28,18627451
ORD078;Little Caesars;Atlanta, GA;19/3/2024 19:15;19/3/2024 19:35;20;Small;Vegan;2;2,5;Low;Card;VERDADERO;FALSO;8;0,8;March;Online;6;14;FALSO;2;1;19;28,84422111
ORD079;Pizza Hut;Dallas, TX;20/3/2024 19:45;20/3/2024 20:10;25;XL;Cheese Burst;5;4;Medium;UPI;VERDADERO;FALSO;6,25;1,25;March;Online;9,6;15,4;FALSO;20;2;19;29,94845361
ORD080;Marco's Pizza;Seattle, WA;21/3/2024 13:00;21/3/2024 13:20;20;Medium;Non-Veg;3;3,5;High;Cash;FALSO;FALSO;5,714285714;0,857142857;March;Offline;8,4;11,6;FALSO;6;3;13;30,28645833
ORD081;Domino's;Denver, CO;22/3/2024 18:30;22/3/2024 18:50;20;Large;Veg;4;4;Low;Wallet;VERDADERO;FALSO;5;1;March;Online;9,6;10,4;FALSO;12;1;18;30,25943396
ORD082;Papa John's;Boston, MA;23/3/2024 20:15;23/3/2024 20:40;25;Small;Vegan;2;2;High;Card;VERDADERO;VERDADERO;12,5;1;March;Online;4,8;20,2;FALSO;2;3;20;28,18627451
ORD083;Little Caesars;Dallas, TX;24/3/2024 18:30;24/3/2024 18:50;20;Medium;Non-Veg;3;3;High;UPI;VERDADERO;VERDADERO;6,666666667;1;March;Online;7,2;12,8;FALSO;6;3;18;28,84422111
ORD084;Pizza Hut;Los Angeles, CA;25/3/2024 19:45;25/3/2024 20:10;25;XL;Cheese Burst;5;4,5;Low;Cash;VERDADERO;FALSO;5,555555556;1,111111111;March;Offline;10,8;14,2;FALSO;20;1;19;29,94845361
ORD085;Marco's Pizza;Chicago, IL;26/3/2024 13:00;26/3/2024 13:20;20;Medium;Non-Veg;3;3,5;Medium;Wallet;FALSO;FALSO;5,714285714;0,857142857;March;Online;8,4;11,6;FALSO;6;2;13;30,28645833
ORD086;Domino's;Miami, FL;27/3/2024 18:30;27/3/2024 18:50;20;Large;Veg;4;4;High;Card;VERDADERO;FALSO;5;1;March;Online;9,6;10,4;FALSO;12;3;18;30,25943396
ORD087;Papa John's;Dallas, TX;28/3/2024 20:00;28/3/2024 20:25;25;Medium;Non-Veg;3;3;Low;UPI;VERDADERO;FALSO;8,333333333;1;March;Online;7,2;17,8;FALSO;6;1;20;28,18627451
ORD088;Little Caesars;Houston, TX;29/3/2024 19:15;29/3/2024 19:35;20;Small;Vegan;2;2,5;Low;Cash;VERDADERO;FALSO;8;0,8;March;Offline;6;14;FALSO;2;1;19;28,84422111
ORD089;Pizza Hut;Phoenix, AZ;30/3/2024 19:45;30/3/2024 20:10;25;XL;Cheese Burst;5;4,5;High;Wallet;VERDADERO;VERDADERO;5,555555556;1,111111111;March;Online;10,8;14,2;FALSO;20;3;19;29,94845361
ORD090;Marco's Pizza;Atlanta, GA;31/3/2024 13:00;31/3/2024 13:20;20;Medium;Non-Veg;3;3;Medium;Card;FALSO;VERDADERO;6,666666667;1;March;Online;7,2;12,8;FALSO;6;2;13;30,28645833
ORD091;Domino's;Seattle, WA;1/4/2024 18:30;1/4/2024 18:50;20;Large;Veg;4;4;Low;UPI;VERDADERO;FALSO;5;1;April;Online;9,6;10,4;FALSO;12;1;18;30,25943396
ORD092;Papa John's;Denver, CO;2/4/2024 20:15;2/4/2024 20:40;25;Small;Vegan;2;2;High;Cash;VERDADERO;FALSO;12,5;1;April;Offline;4,8;20,2;FALSO;2;3;20;28,18627451
ORD093;Little Caesars;Boston, MA;3/4/2024 18:30;3/4/2024 18:50;20;Medium;Non-Veg;3;3,5;Low;Wallet;VERDADERO;FALSO;5,714285714;0,857142857;April;Online;8,4;11,6;FALSO;6;1;18;28,84422111
ORD094;Pizza Hut;Chicago, IL;4/4/2024 19:45;4/4/2024 20:10;25;XL;Cheese Burst;5;4;Medium;Card;VERDADERO;FALSO;6,25;1,25;April;Online;9,6;15,4;FALSO;20;2;19;29,94845361
ORD095;Marco's Pizza;Miami, FL;5/4/2024 13:00;5/4/2024 13:20;20;Medium;Non-Veg;3;3;High;UPI;FALSO;FALSO;6,666666667;1;April;Online;7,2;12,8;FALSO;6;3;13;30,28645833
ORD096;Domino's;Los Angeles, CA;6/4/2024 18:30;6/4/2024 18:50;20;Large;Veg;4;4,5;High;Card;VERDADERO;VERDADERO;4,444444444;0,888888889;April;Online;10,8;9,2;FALSO;12;3;18;30,25943396
ORD097;Papa John's;Dallas, TX;7/4/2024 20:00;7/4/2024 20:25;25;Medium;Non-Veg;3;3;Medium;UPI;VERDADERO;VERDADERO;8,333333333;1;April;Online;7,2;17,8;FALSO;6;2;20;28,18627451
ORD098;Little Caesars;Chicago, IL;8/4/2024 19:15;8/4/2024 19:35;20;Small;Vegan;2;2,5;Low;Cash;VERDADERO;FALSO;8;0,8;April;Offline;6;14;FALSO;2;1;19;28,84422111
ORD099;Pizza Hut;Phoenix, AZ;9/4/2024 19:45;9/4/2024 20:10;25;XL;Cheese Burst;5;4;High;Wallet;VERDADERO;FALSO;6,25;1,25;April;Online;9,6;15,4;FALSO;20;3;19;29,94845361
ORD100;Marco's Pizza;Atlanta, GA;10/4/2024 13:00;10/4/2024 13:20;20;Medium;Non-Veg;3;3,5;Low;Card;FALSO;FALSO;5,714285714;0,857142857;April;Online;8,4;11,6;FALSO;6;1;13;30,28645833
ORD101;Domino's;Seattle, WA;11/4/2024 18:30;11/4/2024 18:50;20;Large;Veg;4;4,5;Medium;UPI;VERDADERO;FALSO;4,444444444;0,888888889;April;Online;10,8;9,2;FALSO;12;2;18;30,25943396
ORD102;Papa John's;Denver, CO;12/4/2024 20:15;12/4/2024 20:40;25;Small;Vegan;2;2;High;Cash;VERDADERO;FALSO;12,5;1;April;Offline;4,8;20,2;FALSO;2;3;20;28,18627451
ORD103;Little Caesars;Boston, MA;13/4/2024 18:30;13/4/2024 18:50;20;Medium;Non-Veg;3;3,5;Low;Wallet;VERDADERO;VERDADERO;5,714285714;0,857142857;April;Online;8,4;11,6;FALSO;6;1;18;28,84422111
ORD104;Pizza Hut;Chicago, IL;14/4/2024 19:45;14/4/2024 20:10;25;XL;Cheese Burst;5;4;Medium;Card;VERDADERO;VERDADERO;6,25;1,25;April;Online;9,6;15,4;FALSO;20;2;19;29,94845361
ORD105;Marco's Pizza;Miami, FL;15/4/2024 13:00;15/4/2024 13:20;20;Medium;Non-Veg;3;3;High;UPI;FALSO;FALSO;6,666666667;1;April;Online;7,2;12,8;FALSO;6;3;13;30,28645833
ORD106;Domino's;Los Angeles, CA;16/4/2024 18:30;16/4/2024 18:50;20;Large;Veg;4;4,5;Low;Cash;VERDADERO;FALSO;4,444444444;0,888888889;April;Offline;10,8;9,2;FALSO;12;1;18;30,25943396
ORD107;Papa John's;Phoenix, AZ;17/4/2024 20:00;17/4/2024 20:25;25;Medium;Non-Veg;3;3;High;Wallet;VERDADERO;FALSO;8,333333333;1;April;Online;7,2;17,8;FALSO;6;3;20;28,18627451
ORD108;Little Caesars;Atlanta, GA;18/4/2024 19:15;18/4/2024 19:35;20;Small;Vegan;2;2,5;Low;Card;VERDADERO;FALSO;8;0,8;April;Online;6;14;FALSO;2;1;19;28,84422111
ORD109;Pizza Hut;Dallas, TX;19/4/2024 19:45;19/4/2024 20:10;25;XL;Cheese Burst;5;4;Medium;UPI;VERDADERO;FALSO;6,25;1,25;April;Online;9,6;15,4;FALSO;20;2;19;29,94845361
ORD110;Marco's Pizza;Seattle, WA;20/4/2024 13:00;20/4/2024 13:20;20;Medium;Non-Veg;3;3,5;High;Cash;FALSO;VERDADERO;5,714285714;0,857142857;April;Offline;8,4;11,6;FALSO;6;3;13;30,28645833
ORD111;Domino's;Denver, CO;21/4/2024 18:30;21/4/2024 18:50;20;Large;Veg;4;4,5;Low;Wallet;VERDADERO;VERDADERO;4,444444444;0,888888889;April;Online;10,8;9,2;FALSO;12;1;18;30,25943396
ORD112;Papa John's;Boston, MA;22/4/2024 20:15;22/4/2024 20:40;25;Small;Vegan;2;2;High;Card;VERDADERO;FALSO;12,5;1;April;Online;4,8;20,2;FALSO;2;3;20;28,18627451
ORD113;Little Caesars;Dallas, TX;23/4/2024 18:30;23/4/2024 18:50;20;Medium;Non-Veg;3;3;High;UPI;VERDADERO;FALSO;6,666666667;1;April;Online;7,2;12,8;FALSO;6;3;18;28,84422111
ORD114;Pizza Hut;Los Angeles, CA;24/4/2024 19:45;24/4/2024 20:10;25;XL;Cheese Burst;5;4,5;Low;Cash;VERDADERO;FALSO;5,555555556;1,111111111;April;Offline;10,8;14,2;FALSO;20;1;19;29,94845361
ORD115;Marco's Pizza;Chicago, IL;25/4/2024 13:00;25/4/2024 13:20;20;Medium;Non-Veg;3;3,5;Medium;Wallet;FALSO;FALSO;5,714285714;0,857142857;April;Online;8,4;11,6;FALSO;6;2;13;30,28645833
ORD116;Domino's;Miami, FL;26/4/2024 18:30;26/4/2024 18:50;20;Large;Veg;4;4;High;Card;VERDADERO;FALSO;5;1;April;Online;9,6;10,4;FALSO;12;3;18;30,25943396
ORD117;Papa John's;Dallas, TX;27/4/2024 20:00;27/4/2024 20:25;25;Medium;Non-Veg;3;3;Low;UPI;VERDADERO;VERDADERO;8,333333333;1;April;Online;7,2;17,8;FALSO;6;1;20;28,18627451
